belongsto,id,population,latitude,longitude
EU,RU-RYA,1227910,54.306865,40.654571
EU,RU-SPE,4662547,59.771022,30.094098
EU,RU-SA,949280,65.300749,134.148224
EU,RU-SAK,546695,50.334829,142.702744
EU,RU-SAM,3239737,53.288173,50.470943
EU,RU-SAR,2668310,51.590364,46.830634
EU,RU-SMO,1049574,54.928337,33.012683
EU,RU-STA,2735139,44.927805,43.400088
EU,RU-SVE,4486214,58.614763,61.561667
EU,RU-TAM,1178443,52.657489,41.637192
EU,RU-TA,3779265,55.380928,50.93665
EU,RU-TOM,1046039,58.476777,82.134382
EU,RU-TUL,1675758,53.879118,37.584039
EU,RU-TVE,1471459,57.063361,34.74855
EU,RU-TYU,3264841,57.665236,69.167506
EU,RU-TY,305510,94.79304,51.591419
EU,RU-UD,1570316,57.189719,52.811319
EU,RU-ULY,1382811,53.904749,47.963072
EU,RU-VLA,1523990,55.994787,40.691957
EU,RU-VGG,2699223,49.599612,44.184682
EU,RU-VLG,1269568,59.970929,40.523416
EU,RU-VOR,2378803,50.959752,40.309955
EU,RU-YAN,507006,65.264795,74.023346
EU,RU-YAR,1367398,57.862116,39.167901
EU,RU-ZAB,1155346,52.83932,116.196137
EU,ES-AN,8414240,37.39,-5.99
EU,ES-AR,1319291,41.39,-0.53
EU,ES-AS,1022800,43.2136,-5.5042
EU,ES-PM,1149460,39.34,2.39
EU,ES-VC,5003769,39.466667,-0.375
EU,ES-CN,2153389,28.28,-16.15
EU,ES-CB,581078,43.462776,-3.805
EU,ES-CM,2032863,39.856667,-4.024444
EU,ES-CL,2399548,42.605556,-5.57
EU,ES-CT,7675217,41.390205,2.154007
AF,SEC,84777,35.5318,-5.1856
EU,ES-EX,1067710,38.88028,-6.975278
EU,ES-GA,2699499,42.524,-8.324
EU,ES-LO,316798,42.465,-2.445556
EU,ES-MD,6663394,40.416775,-3.70379
AF,SEM,86487,35.292522,-2.936471
EU,ES-MU,1493898,37.591,-1.749
EU,ES-NA,654214,42.816666,-1.65
EU,ES-PV,2207776,43.262985,-2.935013
EU,SE-K,159606,56.1132,15.3751
EU,SE-W,287966,60.361,15.3922
EU,SE-X,287382,60.4029,17.084
EU,SE-I,59686,57.6348,18.29484
EU,SE-N,333848,56.393,12.541
EU,SE-Z,130810,63.929,14.4045
EU,SE-F,363599,57.47,14.1
EU,SE-H,245446,56.401,16.1918
EU,SE-G,201469,56.5321,14.481
EU,SE-BD,250093,65.352,22.1129
EU,SE-T,304805,59.1601,15.1147
EU,SE-E,465495,58.2434,15.3732
EU,SE-M,1377827,55.3535,13.117
EU,SE-D,297540,58.453,17.016
EU,SE-AB,2377081,59.334591,18.06324
EU,SE-C,383713,59.5059,17.382
EU,SE-S,282414,59.2315,13.3036
EU,SE-AC,271736,63.4942,20.1614
EU,SE-Y,245347,62.3756,17.5617
EU,SE-U,275845,59.3702,16.3232
EU,SE-O,1725881,57.70887,11.97456
NA,US-AL,4903185,32.31823,-86.902298
NA,US-AK,731545,66.160507,-153.369141
NA,US-AZ,7278717,34.048927,-111.093735
NA,US-AR,3017804,34.799999,-92.199997
NA,US-CA,39512223,36.778259,-119.417931
NA,US-CO,5758736,39.113014,-105.358887
NA,US-CT,3565287,41.599998,-72.699997
NA,US-DE,973764,39,-75.5
NA,US-DC,705749,38.9072,-77.0369
NA,US-FL,21477737,27.994402,-81.760254
NA,US-GA,10617423,33.247875,-83.441162
NA,US-HI,1415872,19.741755,-155.844437
NA,US-ID,1787065,44.068203,-114.742043
NA,US-IL,12671821,40,-89
NA,US-IN,6732219,40.273502,-86.126976
NA,US-IA,3155070,42.032974,-93.581543
NA,US-KS,2913314,38.5,-98
NA,US-KY,4467673,37.839333,-84.27002
NA,US-LA,4648794,30.39183,-92.329102
NA,US-ME,1344212,45.367584,-68.972168
NA,US-MD,6045680,39.045753,-76.641273
NA,US-MA,6892503,42.407211,-71.382439
NA,US-MI,9986857,44.182205,-84.506836
NA,US-MN,5639632,46.39241,-94.63623
NA,US-MS,2976149,33,-90
NA,US-MO,6137428,38.573936,-92.60376
NA,US-MT,1068778,46.96526,-109.533691
NA,US-NE,1934408,41.5,-100
NA,US-NV,3080156,39.876019,-117.224121
NA,US-NH,1359711,44,-71.5
NA,US-NJ,8882190,39.833851,-74.871826
NA,US-NM,2096829,34.307144,-106.018066
NA,US-NY,19453561,43,-75
NA,US-NC,10488084,35.782169,-80.793457
NA,US-ND,762062,47.650589,-100.437012
NA,US-OH,11689100,40.367474,-82.996216
NA,US-OK,3956971,36.084621,-96.921387
NA,US-OR,4217737,44,-120.5
NA,US-PA,12801989,41.203323,-77.194527
NA,US-RI,1059361,41.700001,-71.5
NA,US-SC,5148714,33.836082,-81.163727
NA,US-SD,884659,44.5,-100
NA,US-TN,6829174,35.860119,-86.660156
NA,US-TX,28995881,31,-100
NA,US-UT,3205958,39.41922,-111.950684
NA,US-VT,623989,44,-72.699997
NA,US-VA,8535519,37.926868,-78.024902
NA,US-WA,7614893,47.751076,-120.740135
NA,US-WV,1792147,39,-80.5
NA,US-WI,5822434,44.5,-89.5
NA,US-WY,578759,43.07597,-107.290283
EU,UA-71,1291135,49.253559,31.378329
EU,UA-74,1104241,51.347162,32.016707
EU,UA-77,903782,48.269841,25.97109
EU,UA-43,2416856,45.3,34.4
EU,UA-12,3344073,48.166611,33.952679
EU,UA-14,4448031,48.04733,37.669412
EU,UA-26,1380770,48.705101,24.609296
EU,UA-63,2755177,49.612761,36.514406
EU,UA-65,1091151,46.66268,33.577394
EU,UA-68,1331534,49.422983,26.987133
EU,UA-30,2782016,50.427074,30.530672
EU,UA-32,1719602,49.843123,30.727949
EU,UA-35,1014809,48.507933,32.262317
EU,UA-09,2300412,48.574041,39.307815
EU,UA-46,2545634,49.724836,23.921202
EU,UA-48,1186452,47.369854,31.706007
EU,UA-51,2387636,46.891548,30.547979
EU,UA-53,1493668,49.713595,33.811322
EU,UA-56,1152576,51.043432,26.397584
EU,UA-40,443211,44.36,33.32
EU,UA-59,1166765,51.393248,33.665627
EU,UA-61,1086694,49.402562,25.640005
EU,UA-05,1646250,48.926546,28.692087
EU,UA-07,1038223,51.202858,24.883489
EU,UA-21,1246323,48.405051,23.281219
EU,UA-23,1805431,47.251409,35.699543
EU,UA-18,1283201,50.642612,28.484557
EU,ENG,56286961,51.3,-0.7
EU,SCT,5463300,55.5711,-3.112
EU,WLS,3153000,51.29,-3.11
