belongsto,id,population,latitude,longitude
SA,BR-RJ,17264943,-22.56003253,-44.1699502
SA,BR-RO,1777225,-11.64002724,-61.20999536
SA,BR-RR,605761,1.816231505,-61.12767481
SA,BR-SC,7164788,-27.23003172,-52.03001306
SA,BR-SP,45919049,-23.65283405,-46.52781661
SA,BR-SE,2298696,-11.26961058,-37.45002446
SA,BR-TO,1572866,-6.319576804,-47.41998438
NA,CA-QC,8537674,52.9399,-73.5491
NA,CA-AB,4413146,53.9333,-116.5765
NA,CA-BC,5110917,49.2827,-123.1207
NA,CA-ON,14711827,51.2538,-85.3232
NA,CA-MB,1377517,53.7609,-98.8139
NA,CA-NB,779993,46.5653,-66.4619
NA,CA-NL,521365,53.1355,-57.6604
NA,CA-NT,44904,64.8255,-124.8457
NA,CA-NS,977457,44.682,-63.7443
NA,CA-NU,35944,73,-91
NA,CA-PE,158158,46.5107,-63.4168
NA,CA-SK,1181666,52.9399,-106.4509
NA,CA-YT,41078,64.2823,-135
SA,CL-AN,691854,-23.6509,-70.3975
SA,CL-AR,1014343,-38.9489,-72.3311
SA,CL-AP,252110,-18.594,-69.4785
SA,CL-AT,314709,-23.8634,-69.1328
SA,CL-AI,82295,-45.9864,-73.7669
SA,CL-BI,2175247,-37.4464,-72.1416
SA,CL-CO,836096,-29.959,-71.3389
SA,CL-LL,891440,-41.9198,-72.1416
SA,CL-LR,405835,-40.231,-72.3311
SA,CL-MA,178362,-52.368,-70.9863
SA,CL-ML,1131939,-35.5183,-71.6885
SA,CL-RM,8125072,-33.4376,-70.6505
SA,CL-LI,991063,-48.4674,-72.5592
SA,CL-TA,382773,-19.9232,-69.5132
SA,CL-VS,1960170,-33.0472,-71.6127
AS,CN-34,59500510,31.8257,117.2264
AS,CN-11,19612368,40.1824,116.4142
AS,CN-50,28846170,30.0572,107.874
AS,CN-35,36894216,26.0789,117.9874
AS,CN-62,25575254,37.8099,101.0583
AS,CN-44,104303132,23.3417,113.4244
AS,CN-45,46026629,23.8298,108.7881
AS,CN-52,34746468,26.8154,106.8748
AS,CN-46,9171300,19.1959,109.7453
AS,CN-13,71854202,39.549,116.1306
AS,CN-23,38312224,47.862,127.7615
AS,CN-41,94023567,33.882,113.614
AS,CN-42,57237740,30.9756,112.2707
AS,CN-43,65683722,27.6104,111.7088
AS,CN-15,24706321,44.0935,113.9448
AS,CN-32,78659903,32.9711,119.455
AS,CN-36,44567475,27.614,115.7221
AS,CN-22,27462297,43.6661,126.1923
AS,CN-21,43746323,41.2956,122.6085
AS,CN-64,6301350,37.2692,106.1655
AS,CN-63,5626722,35.7452,95.9956
AS,CN-61,37327378,35.1917,108.8701
AS,CN-37,95793065,36.3427,118.1498
AS,CN-31,23019148,31.202,121.4491
AS,CN-14,35712111,37.5777,112.2922
AS,CN-51,80418200,30.6171,102.7103
AS,CN-12,12938224,39.3054,117.323
AS,CN-54,3002166,31.6927,88.0924
AS,CN-65,21813334,41.1129,85.2401
